onset	duration	valence	arousal	anxiety
0	30	-3	4	3
30	30	-2	5	4
60	30	-1	5	3
90	30	-3	4	4
120	30	-1	5	5
150	30	n/a	n/a	n/a
180	30	1	4	3
210	30	-2	4	3
240	30	-2	4	3
270	30	-1	4	3
300	30	-2	4	4
330	30	-2	4	4
360	30	-2	4	4
390	30	-2	5	4
420	30	-3	5	5
450	30	-3	5	4
480	30	-3	5	5
510	30	-2	4	4
540	30	-2	5	5
570	30	-1	4	4
600	30	3	4	1
630	30	3	4	1
660	30	-2	4	2
690	30	1	3	1
720	30	-3	4	3
750	30	-3	5	4
780	30	n/a	n/a	n/a
810	30	-5	5	3
840	30	-3	3	2
870	30	n/a	n/a	n/a
900	30	-3	4	2
930	30	-1	3	0
960	30	-1	3	1
990	7.5651	-1	2	0
