onset	duration	valence	arousal	anxiety
0	30	2	0	0
30	30	2	0	0
60	30	3	1	0
90	30	3	0	0
120	30	1	1	1
150	30	1	1	0
180	30	1	1	0
210	30	2	1	0
240	30	3	1	0
270	30	2	1	0
300	30	2	1	0
330	30	1	1	0
360	30	2	1	0
390	30	3	1	0
420	30	2	2	1
450	30	2	1	0
480	30	2	0	0
510	30	1	1	0
540	30	2	1	0
570	30	3	2	0
600	30	2	2	0
630	30	2	0	0
660	30	2	3	1
690	30	2	4	3
720	30	1	5	5
750	30	2	5	5
780	30	-1	5	5
810	30	2	1	0
840	30	3	1	0
870	30	3	1	0
900	30	2	1	0
930	30	3	1	0
960	30	2	1	1
990	8.0236	3	2	0
