onset	duration	valence	arousal	anxiety
0	30	1	1	0
30	30	1	2	0
60	30	2	2	0
90	30	1	2	0
120	30	2	1	0
150	30	1	2	0
180	30	1	2	0
210	30	-1	3	1
240	30	2	1	0
270	30	1	2	1
300	30	1	1	0
330	30	1	2	0
360	30	2	2	0
390	30	1	1	1
420	30	1	2	1
450	30	1	2	0
480	30	-1	1	2
510	30	0	2	0
540	30	1	2	1
570	30	1	1	0
600	30	1	2	0
630	30	2	2	0
660	30	2	2	0
690	30	2	2	0
720	30	1	1	0
750	30	1	1	0
780	30	1	1	0
810	30	0	1	0
840	30	1	1	0
870	30	0	1	2
900	30	1	1	1
930	30	0	1	0
960	30	0	1	2
990	20.9128	0	1	0
