onset	duration	valence	arousal	anxiety
0	30	0	0	0
30	30	1	2	2
60	30	2	2	1
90	30	-1	1	1
120	30	2	2	1
150	30	5	3	0
180	30	2	2	1
210	30	-3	3	3
240	30	-2	3	2
270	30	1	3	2
300	30	1	3	2
330	30	-2	2	2
360	30	-3	3	3
390	30	-1	1	1
420	30	1	2	1
450	30	1	3	1
480	30	1	2	1
510	30	3	3	0
540	30	1	2	0
570	30	1	3	1
600	30	2	2	1
630	30	2	3	1
660	30	1	3	2
690	30	1	2	1
720	30	0	2	0
750	30	-1	1	1
780	30	-4	5	4
810	30	2	1	1
840	30	3	3	1
870	30	3	2	0
900	30	3	3	1
930	30	4	4	2
960	30	2	5	3
990	30	3	4	4
1020	30	5	5	3
1050	30	4	3	1
1080	9.0231	2	1	0
