onset	duration	valence	arousal	anxiety
0	30	2	2	0
30	30	2	3	0
60	30	2	3	0
90	30	2	3	0
120	30	2	2	0
150	30	-1	1	0
180	30	-1	2	0
210	30	0	2	1
240	30	0	2	0
270	30	0	1	1
300	30	-1	1	1
330	30	0	1	0
360	30	0	1	0
390	30	0	1	0
420	30	-1	1	0
450	30	0	1	1
480	30	0	1	1
510	30	-1	1	1
540	30	-1	1	1
570	30	-1	1	1
600	30	-1	1	1
630	30	-1	2	1
660	30	0	1	1
690	30	1	2	0
720	30	-1	1	1
750	30	-1	1	1
780	30	-1	2	1
810	30	-1	2	1
840	30	-1	1	1
870	30	-1	1	1
900	30	0	1	1
930	30	0	1	0
960	30	1	2	0
990	30	0	2	0
1020	30	0	2	1
1050	30	0	1	0
1080	30	0	1	0
1110	30	2	2	0
1140	30	0	1	0
1170	30	0	1	0
1200	30	1	2	1
1230	30	0	1	0
1260	30	-1	2	1
1290	30	-2	2	1
1320	7.4027	-2	2	2
