onset	duration	valence	arousal	anxiety
0	30	-1	1	1
30	30	-2	2	2
60	30	-2	1	1
90	30	-1	1	1
120	30	-2	2	1
150	30	-2	1	1
180	30	0	1	0
210	30	-1	1	0
240	30	-1	1	1
270	30	0	2	0
300	30	-2	1	1
330	30	1	1	0
360	30	0	2	0
390	30	0	2	0
420	30	0	1	0
450	30	1	2	0
480	30	2	2	0
510	30	2	2	1
540	30	-1	1	1
570	30	-1	1	1
600	30	-2	2	1
630	30	-1	1	1
660	30	-1	1	1
690	30	0	1	0
720	30	-2	2	2
750	30	0	1	0
780	30	0	2	0
810	30	1	2	1
840	30	0	2	0
870	30	0	2	1
900	30	-1	2	1
930	30	1	3	1
960	30	0	3	1
990	30	-2	3	2
1020	30	0	2	0
1050	30	-2	3	2
1080	30	-1	2	1
1110	30	-1	2	1
1140	30	-1	1	1
1170	30	-2	1	1
1200	30	-1	1	0
1230	30	1	2	0
1260	30	-1	1	1
1290	22.3396	0	1	1
