onset	duration	valence	arousal	anxiety
0	30	1	2	1
30	30	-1	2	2
60	30	2	2	1
90	30	1	3	1
120	30	1	2	1
150	30	-1	3	4
180	30	-2	3	5
210	30	-2	2	1
240	30	-2	1	3
270	30	2	2	0
300	30	-2	2	2
330	30	-3	3	2
360	30	-3	2	1
390	30	-3	2	1
420	30	-2	3	4
450	30	-2	4	5
480	30	-1	2	1
510	30	2	3	0
540	30	-2	2	1
570	30	2	3	1
600	30	1	3	3
630	30	2	4	2
660	30	1	4	1
690	30	-1	2	0
720	30	-2	3	2
750	30	-1	3	3
780	30	-1	2	1
810	30	1	4	1
840	30	3	2	0
870	30	3	2	0
900	30	-1	3	0
930	30	3	4	1
960	16.2433	3	4	2
