onset	duration	valence	arousal	anxiety
0	30	-1	2	1
30	30	-1	2	1
60	30	-1	2	1
90	30	-2	3	2
120	30	-3	3	2
150	30	2	3	0
180	30	2	2	0
210	30	1	2	0
240	30	-1	2	1
270	30	-1	2	1
300	30	0	2	1
330	30	1	1	0
360	30	1	2	0
390	30	2	2	0
420	30	2	3	0
450	30	3	3	0
480	30	3	3	0
510	30	2	2	0
540	30	3	4	0
570	30	0	2	0
600	30	1	2	0
630	30	2	3	0
660	30	-1	2	1
690	30	-4	4	3
720	30	-2	4	4
750	30	-3	4	4
780	30	-3	4	4
810	30	-4	5	4
840	30	-2	3	3
870	30	0	5	1
900	30	0	4	1
930	30	1	4	0
960	30	1	4	1
990	30	0	4	1
1020	10.3535	-1	4	1
