onset	duration	valence	arousal	anxiety
0	30	2	1	1
30	30	2	1	1
60	30	-1	1	1
90	30	0	1	0
120	30	1	1	0
150	30	-1	1	1
180	30	1	1	1
210	30	-2	2	2
240	30	-3	3	3
270	30	-4	4	4
300	30	-2	2	1
330	30	1	2	1
360	30	2	3	1
390	30	3	2	2
420	30	1	2	2
450	30	-1	1	1
480	30	-1	1	2
510	30	-1	3	2
540	30	-2	3	3
570	30	-3	2	2
600	30	2	3	1
630	30	2	3	1
660	30	3	3	0
690	30	4	3	0
720	30	2	1	0
750	30	3	2	0
780	30	4	3	0
810	30	2	1	1
840	30	-1	1	1
870	12.8774	0	1	0
